playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
bakerje03,748,235,54,0,0,0,551,1471,748,11,0,0,0,0.27225556,0
barrema02,941,314,18,0,0,0,911,1827,941,10,0,1,0,1.31848333,0
bellja01,2063,860,195,0,0,0,2006,3202,2063,18,0,3,2,2.50368750,1
biggicr01,2850,1175,291,0,0,0,2780,7156,2850,20,0,17,7,2.61113684,1
blankma01,18,1,0,18,10.3,0.2465,18,2,18,2,0,0,0,0.10040000,0
blumaja01,17,0,0,17,3.6,0.247,17,1,17,1,0,0,0,0.12070000,0
broweji01,356,4,0,354,78.22,0.30616666666666675,354,45,356,9,0,0,0,0.26470000,0
crawfst01,277,0,0,277,39.92999999999999,0.2952,277,54,277,10,0,0,0,0.53895000,0
daveyto01,114,0,0,114,20.19,0.2638,114,7,114,4,0,0,0,0.11616667,0
aldremi01,930,271,41,1,0,0.333,696,2388,930,10,0,0,0,0.35235000,0
blaziro01,63,0,0,63,10.9,0.3,63,6,63,2,0,0,0,0.13180000,0
bragggl01,692,321,70,0,0,0,610,1250,692,7,0,0,0,0.57162857,0
carlsda01,23,0,0,23,26.97,0.313,23,3,23,4,0,0,0,0.12985000,0
cochrda01,218,43,8,0,0,0,213,308,218,5,0,0,0,0.15820000,0
davisja02,145,1,1,144,36.82000000000001,0.28225,144,38,145,7,0,0,0,0.15142500,0
davisma01,625,9,1,624,84.21999999999998,0.2557222222222223,624,29,625,15,0,5,2,1.84203333,1
diazal01,366,75,8,0,0,0,284,484,366,8,0,0,0,0.19288333,0
bakerdu01,2039,1013,242,0,0,0,1903,4073,2039,19,1973,5,2,1.17295000,1
bennesh01,83,0,0,83,22.97,0.3223333333333333,83,5,83,3,0,0,0,0.13753333,0
bergepe01,308,56,8,0,0,0,302,647,308,5,0,0,0,0.10810000,0
berrada01,853,278,49,0,0,0,863,1054,853,11,0,0,0,0.99880000,0
carpech01,350,21,2,350,60.730000000000004,0.27153333333333335,350,185,350,15,0,3,3,1.59236667,1
carradj01,290,0,0,290,42.60999999999999,0.27799999999999997,290,40,290,8,0,0,0,0.22961667,0
costoti01,43,14,3,0,0,0,42,135,43,2,0,0,0,0.11160000,0
deltomi01,23,2,0,23,9.370000000000001,0.257,23,1,23,2,0,0,0,0.13470000,0
adducji01,70,15,1,0,0,0,42,137,70,4,0,0,0,0.16100000,0
avenbr01,259,103,20,0,0,0,181,274,259,5,0,0,0,0.14765000,0
balbost01,960,495,181,0,0,0,630,5579,960,11,0,0,0,1.20613333,0
brunato01,1800,919,271,0,0,0,1715,3746,1800,14,0,0,1,2.04110000,0
cianfar01,500,185,34,0,0,0,501,1359,500,7,0,0,0,0.24518333,0
claytro01,2108,723,110,0,0,0,2057,3096,2108,17,0,0,1,1.18061250,1
coolbsc01,167,41,8,0,0,0,151,105,167,4,0,0,0,0.19530000,0
adamste01,574,2,0,574,60.069999999999986,0.28125,574,87,574,11,0,0,0,0.55412727,0
branyru01,1059,467,194,0,0,0,794,2431,1059,14,0,0,0,0.27301250,0
clarkto02,1559,824,251,0,0,0,1212,9351,1559,15,0,0,1,0.80183846,1
dejeami01,568,0,0,565,52.40000000000001,0.2636923076923078,565,50,568,10,0,0,0,0.38633000,0
bordepa01,1099,346,69,0,0,0,1022,5398,1099,17,0,1,0,0.70364615,0
boskish01,222,8,1,217,55.900000000000006,0.29090909090909095,217,62,222,9,0,0,0,0.30925714,0
bumpna01,113,0,0,113,13.75,0.27799999999999997,113,7,113,3,0,0,0,0.12955000,0
casiala01,245,0,0,245,59.589999999999996,0.3144545454545455,245,17,245,9,0,0,0,0.18890000,0
cecenjo01,22,0,0,22,4.78,0.213,22,1,22,1,0,0,0,0.13790000,0
chaveer01,1615,902,260,0,0,0,1430,1126,1615,17,0,8,0,1.76100625,0
daviser01,1626,934,282,0,0,0,1432,3104,1626,17,0,9,2,2.13888000,1
beckejo02,335,18,3,335,56.88,0.24260000000000004,335,132,335,14,0,3,3,2.75229231,0
buhneja01,1472,965,310,0,0,0,1398,2537,1472,15,0,1,1,2.28092143,1
castilu01,1720,443,28,0,0,0,1683,3287,1720,15,0,3,3,1.22395333,1
codirch01,144,0,0,144,50.74000000000001,0.286625,144,58,144,8,0,0,0,0.47220000,0
dibblro01,385,2,0,385,32.9,0.1985,385,23,385,7,0,1,2,0.98675000,0
batismi01,658,9,2,658,108.73999999999998,0.276952380952381,658,119,658,18,0,0,0,0.93483333,0
berroge01,779,382,101,0,0,0,343,624,779,11,0,0,0,0.81880000,0
brownmi01,61,0,0,61,99.92999999999999,0.3992857142857142,61,29,61,6,0,0,0,0.19180000,0
carltst01,745,140,13,741,107.63000000000002,0.2545555555555556,741,109,745,24,0,17,10,1.26295000,1
barremi01,1054,424,98,0,0,0,1017,6115,1054,12,0,1,0,0.73314545,0
bolicfr01,116,26,5,0,0,0,84,347,116,2,0,0,0,0.12530000,0
brettge01,2707,1596,317,0,0,0,2200,5503,2707,21,0,14,13,3.67204444,1
castijo02,592,218,39,0,0,0,559,964,592,5,0,0,0,0.24410000,0
bellhma01,731,246,69,0,0,0,651,894,731,10,0,0,0,0.32005000,0
benneer01,25,0,0,25,7.9,0.153,25,2,25,2,0,0,0,0.10600000,0
blaloha01,936,542,153,0,0,0,806,1258,936,9,0,0,2,0.90711250,0
bootyjo01,13,4,0,0,0,0,12,5,13,3,0,0,0,0.13270000,0
burroje01,1689,882,240,0,0,0,1287,2177,1689,16,0,3,2,0.73480000,1
cammaer01,8,1,0,8,6.3,0.194,8,1,8,1,0,0,0,0.08990000,0
carroja01,1276,265,13,1,0,0,1240,1424,1276,12,0,0,0,0.50916364,0
conceda01,2488,950,101,1,0,0.333,2499,4245,2488,19,0,11,9,1.42242500,1
deerro01,1155,600,230,0,0,0,1100,2537,1155,11,0,0,0,1.40351250,0
allenje01,342,114,15,0,0,0,322,596,342,4,0,0,0,0.15787500,0
anderla02,699,0,0,699,64.32000000000001,0.25015789473684213,699,97,699,17,0,0,0,0.99500909,0
bottari01,562,1,0,562,47.309999999999995,0.2569166666666666,562,38,562,12,0,0,1,0.69433333,0
canatwi01,38,3,1,0,0,0,31,38,38,1,0,0,0,0.11160000,0
darenvi01,313,0,0,309,48.52,0.31779999999999997,309,19,313,8,0,0,0,0.20590000,0
abreubo01,2425,1363,288,0,0,0,2138,3952,2425,18,0,2,2,2.76154375,0
alvarwi01,355,1,0,355,57.42000000000001,0.30046666666666666,355,58,355,14,0,0,1,2.09348571,0
