"playerID","gamesBatted","totalRBI","totalHR","battingAverage","gamesPitched","pitchingERA","strikeOuts","gamesFielded","totalPutOut","totalGames","totalSeasons","managerWins","allstarAppearances","proportionalSal","class"
"allisdo01","318","139","2","0.2715","1","1.7999999523162842","0","345","1328","316","10","2","0","1.00000000","0"
"ansonca01","2524","2075","97","0.3341","3","9","1","2593","22572","2524","27","1296","0","1.00000000","1"
"barnero01","499","346","6","0.3597","1","20.25","0","505","1305","499","9","0","0","1.00000000","0"
"battijo01","480","143","3","0.2248","3","3.5799999237060547","1","490","908","480","10","9","0","1.00000000","0"
"becklja01","2392","1581","87","0.3076","1","6.75","2","2391","23767","2392","20","0","0","1.00000000","1"
"bennech01","1062","533","55","0.2560","0","0","0","1084","5326","1062","15","0","0","1.00000000","0"
"bondto01","488","174","0","0.2385","417","2.8372727524150503","972","520","336","488","10","2","0","1.00000000","0"
"broutda01","1676","1301","107","0.3424","4","18.53500008583069","8","1677","16443","1676","19","0","0","1.00000000","1"
"clarkjo01","546","232","24","0.2188","531","3.0230769102389994","1978","564","239","546","12","0","0","1.00000000","1"
"comisch01","1390","883","28","0.2638","4","0.75","6","1409","13900","1390","13","840","0","1.00000000","1"
"connoro01","1998","1323","138","0.3164","0","0","0","2000","18115","1998","18","8","0","1.00000000","1"
"crossla01","2277","1378","47","0.2918","0","0","0","2298","4262","2277","21","8","0","1.00000000","0"
"cummica01","247","107","0","0.2125","242","2.56333335240682","259","254","109","246","6","0","0","1.00000000","1"
"delahed01","1837","1466","101","0.3458","0","0","0","1859","6076","1837","16","0","0","1.00000000","1"
"dennyje01","1237","667","74","0.2600","1","9","1","1244","2251","1237","13","0","0","1.00000000","0"
"doyleja01","1569","971","25","0.2991","0","0","0","1587","11523","1568","17","40","0","1.00000000","0"
"duffyhu01","1737","1302","106","0.3255","0","0","0","1727","3449","1737","17","535","0","1.00000000","1"
"dunlafr01","965","366","41","0.2916","2","9","2","969","2912","965","12","145","0","1.00000000","0"
"ewingbu01","1315","883","71","0.3030","9","4.2083333532015486","23","1345","6355","1315","18","489","0","1.00000000","1"
"flintsi01","760","295","21","0.2358","0","0","0","817","3674","760","13","5","0","1.00000000","0"
"galvipu01","731","220","5","0.2009","705","2.941764740382924","1807","764","378","731","15","7","0","1.00000000","1"
"glassja01","1737","827","27","0.2902","5","14.850000023841858","3","1741","3165","1737","17","35","0","1.00000000","0"
"gleaski01","1968","824","15","0.2609","299","4.441111087799072","744","1971","4237","1966","22","392","0","1.00000000","0"
"hamilbi01","1594","742","40","0.3444","0","0","0","1587","3453","1594","14","0","0","1.00000000","1"
"hanlone01","1270","518","30","0.2591","0","0","0","1274","2700","1270","13","1313","0","1.00000000","1"
"keefeti01","618","134","12","0.1872","600","2.859999990463257","2564","625","297","618","14","0","0","1.00000000","1"
"kellyki01","1456","950","69","0.3075","12","3.3114285469055176","4","1611","3573","1456","16","173","0","1.00000000","1"
"kilroma01","330","103","1","0.2222","303","4.0160000085830685","1170","342","184","330","10","0","0","1.00000000","0"
"lathaar01","1629","563","27","0.2687","0","0","0","1634","2080","1629","17","0","0","1.00000000","0"
"longhe01","1875","1055","91","0.2773","0","0","0","1882","4450","1875","16","0","0","1.00000000","0"
"mackco01","724","265","5","0.2443","0","0","0","729","3321","724","11","3731","0","1.00000000","1"
"mcaleji01","1021","469","11","0.2532","1","5.15","0","1020","2469","1021","13","735","0","1.00000000","0"
"mccarto01","1273","732","44","0.2916","13","5.096666653951009","21","1296","2190","1273","13","15","0","1.00000000","1"
"mcphebi01","2138","1072","53","0.2719","0","0","0","2134","6556","2138","18","79","0","1.00000000","1"
"mcveyca01","530","449","11","0.3458","34","4.822499871253967","37","606","2690","530","9","91","0","1.00000000","0"
"odayha01","232","46","1","0.1897","201","3.643749997019768","663","242","130","232","7","153","0","1.00000000","1"
"orourji01","1999","1208","62","0.3104","6","4.634999871253967","4","2084","5494","1996","23","246","0","1.00000000","1"
"paborch01","170","80","0","0.2853","10","6.583333333333333","0","177","338","170","5","13","0","1.00000000","0"
"pikeli01","425","332","21","0.3224","0","0","0","445","823","424","10","20","0","1.00000000","0"
"radboch01","653","259","9","0.2352","527","2.8927272774956445","1830","678","443","653","12","0","0","1.00000000","1"
"remseja01","578","201","9","0.2435","0","0","0","580","1319","577","10","0","0","1.00000000","0"
"richaha01","1334","828","73","0.2995","5","3.375","6","1358","3243","1334","14","0","0","1.00000000","0"
"richmle01","251","113","3","0.2574","191","3.768333355585734","552","281","121","251","6","0","0","1.00000000","0"
"robinwi01","1371","722","18","0.2735","0","0","0","1356","5408","1371","17","1399","0","1.00000000","1"
"spaldal01","411","338","2","0.3129","347","2.3899999856948853","248","480","789","411","8","78","0","1.00000000","1"
"barryja01","1223","429","10","0.2434","0","0","0","1219","2226","1225","11","90","0","1.00000000","0"
"bellja01","2063","860","195","0.2653","0","0","0","2006","3202","2063","18","0","2","2.50368750","0"
"biggicr01","2850","1175","291","0.2814","0","0","0","2780","7156","2850","20","0","7","2.61113684","1"
"cochrmi01","1482","832","119","0.3196","0","0","0","1452","6414","1482","13","348","2","1.00000000","1"
"dierkla01","357","46","4","0.1356","356","3.3692857027053837","1493","356","152","357","14","435","2","1.00000000","0"
"granted01","990","277","5","0.2493","0","0","0","903","1187","991","10","0","0","1.00000000","0"
"hattogr01","1312","533","91","0.2539","0","0","0","1175","1492","1312","12","164","1","1.00000000","0"
"jacksre01","2820","1702","563","0.2620","0","0","0","2102","4062","2820","21","0","14","2.02493333","1"
"jonesra01","319","20","0","0.1319","305","3.703999996185303","735","305","114","319","10","0","2","1.00000000","0"
"klingjo01","1261","515","20","0.2718","0","0","0","1207","5577","1264","13","52","0","1.00000000","0"
"piazzmi01","1912","1335","427","0.3078","0","0","0","1700","11347","1912","16","0","12","3.96263333","1"
"renteed01","2152","923","140","0.2858","0","0","0","2119","2966","2152","16","0","5","2.08372000","0"
"smithea02","860","355","46","0.3030","0","0","0","721","2117","863","12","0","0","1.00000000","0"
"davisma01","625","9","1","0.1557","624","4.678888870610131","1007","624","29","625","15","0","2","1.84203333","0"
"guarded01","909","0","0","0.0000","908","4.555263167933414","798","908","28","909","17","0","2","0.70945294","0"
"hoffmtr01","1035","5","0","0.1176","1035","2.926315803276865","1133","1035","66","1035","18","0","7","1.91152778","1"
"hubbeca01","535","101","4","0.1910","535","3.136249981820584","1677","535","155","535","16","0","9","1.00000000","1"
"otisam01","1998","1007","193","0.2768","0","0","0","1932","4940","1998","17","0","5","1.00000000","0"
"ramirma02","2302","1831","555","0.3122","0","0","0","1939","3206","2302","19","0","12","4.19216842","0"
"alstowa01","1","0","0","0.0000","0","0","0","1","1","1","1","2040","0","1.00000000","1"
"bakerdu01","2039","1013","242","0.2783","0","0","0","1903","4073","2039","19","1973","2","1.17295000","0"
"carpech01","350","21","2","0.1185","350","4.048666715621948","1697","350","185","350","15","0","3","1.59236667","0"
"garvest01","2332","1308","272","0.2942","0","0","0","2261","19004","2332","19","0","10","2.79296667","0"
"hermaba01","1552","997","181","0.3245","0","0","0","1421","4376","1553","13","0","0","1.00000000","0"
"miksied01","1042","228","44","0.2365","0","0","0","919","1679","1042","14","0","0","1.00000000","0"
"montawi01","1632","802","139","0.2745","0","0","0","1516","10764","1632","14","0","1","1.00000000","0"
"claytro01","2108","723","110","0.2580","0","0","0","2057","3096","2108","17","0","1","1.18061250","0"
"colliji01","1725","983","65","0.2942","0","0","0","1719","2434","1726","14","455","0","1.00000000","1"
"groveor01","207","19","1","0.1287","207","9.597999978065491","374","207","72","207","10","0","1","1.00000000","0"
"higgipi01","1802","1075","140","0.2925","0","0","0","1771","1849","1802","14","560","3","1.00000000","0"
"hodgegi01","2071","1274","370","0.2733","0","0","0","2084","15722","2072","18","660","8","1.00000000","0"
"lolicmi01","592","31","0","0.1096","586","3.429999992251396","2832","586","100","592","16","0","3","1.00000000","0"
"peckiro01","2012","740","48","0.2594","0","0","0","1984","3930","2012","17","500","0","1.00000000","0"
"plesada01","1064","0","0","0.0667","1064","3.777999985218048","1041","1064","9","1064","18","0","3","1.14248333","0"
"ritchcl01","1672","675","18","0.2733","0","0","0","1668","3841","1673","13","0","0","1.00000000","0"
"callijo01","1886","840","226","0.2641","0","0","0","1777","3349","1886","16","0","4","1.00000000","0"
"clarkto02","1559","824","251","0.2621","0","0","0","1212","9351","1559","15","0","1","0.80183846","0"
"collish01","1799","709","22","0.2640","0","0","0","1714","5959","1803","16","73","0","1.00000000","0"
